Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.880136875,-0.130638711,0.351820534,0.139045034,0.400222041
0.890146875,-0.111700603,0.330176334,0.101491876,0.363034485
0.900125875,-0.094313103,0.370140774,0.180792984,0.422593489
0.910135875,-0.063098766,0.479883145,0.265430846,0.552017048
0.920145875,-0.112881595,0.588863038,0.391408523,0.716032516
0.930154875,-0.078922939,0.64950908,0.52355969,0.837977102
0.940134875,-0.106874969,0.769274967,0.614023132,0.990065978
0.950143875,-0.066639657,0.809988618,0.581803805,0.999508916
0.960153875,0.015788067,0.82549865,0.600866312,1.021145244
0.970132875,0.040476912,0.964994285,0.638048757,1.157565794
0.980142875,0.03453921,1.181045468,0.699423471,1.373045719
0.990152875,-0.052654689,1.436111394,1.032316568,1.769425316
1.000162875,-0.193589397,1.743848746,1.514142925,2.317566417
1.010141875,-0.177356137,1.852367806,2.011862599,2.740494993
1.020151875,-0.146765588,1.853505381,2.372987807,3.014646492
1.030160875,-0.141180583,1.89540302,2.489556144,3.132151715
1.040170875,-0.271499964,1.871913732,3.009445537,3.554509205
1.050149875,-0.537486186,1.910150868,3.832796651,4.316004854
1.060159875,-1.122993434,1.670653446,5.968473457,6.298799298
1.070169875,-1.186657333,1.596424067,5.969054085,6.291767009
1.080148875,-1.355057437,0.92132684,6.982122204,7.171823636
1.090158875,-1.181084498,-0.69090057,8.293710562,8.405827685
1.100168875,-0.852607146,-1.327909984,8.464958552,8.610795965
1.110178875,-0.253921223,-1.856897059,8.036514934,8.2521582
1.120157875,0.178872594,-2.120014308,6.911175013,7.231237524
1.130167875,0.557595601,-2.330737143,5.487130664,5.987641556
1.140176875,0.796994205,-2.279181219,3.899801064,4.586754313
1.150186875,0.55618697,-2.094267409,1.950257505,2.915270873
1.160165875,-0.112918322,-2.077811006,0.087689524,2.082723836
1.170175875,-0.863320268,-2.024528253,-0.639839759,2.292036529
1.180185875,-1.270338883,-1.914827471,-0.725676885,2.409757677
1.190164875,-1.034851044,-1.999503047,-0.982560271,2.456492175
1.200174875,-0.57662054,-1.748953657,-1.499561139,2.374871313
1.210184875,-0.053067063,-1.54167454,-2.342988083,2.805204031
1.220193875,0.624392877,-2.134726049,-3.363433049,4.032319883
1.230173875,1.878452527,-2.969872751,-4.134870828,5.426406252
1.240182875,0.911942936,-3.454325092,-3.132042938,4.751178246
1.250192875,-1.35711244,-4.099371212,-1.934029727,4.731497595
1.260202875,-1.623465685,-4.469613984,-3.687526671,6.017552903
1.270181875,-0.836745185,-4.211824279,-3.894628032,5.797217761
1.280191875,-1.711289695,-3.111130956,-3.581660492,5.043405608
1.290201875,-2.161540356,-2.229174954,-4.296594872,5.301151307
1.300180875,-1.402339776,-2.016726313,-3.986745068,4.682721229
1.310190875,-0.560838211,-1.84737516,-3.339445431,3.857360532
1.320200875,-0.210830131,-1.708285103,-2.864024699,3.341455493
1.330209875,-0.103595302,-1.501924583,-2.23707922,2.696485282
1.340189875,0.615839058,-1.40710555,-1.204980168,1.952224623
1.350198875,0.899889047,-1.953381087,-1.54499225,2.648112351
1.360208875,0.311475769,-2.213403259,-2.583482893,3.416219402
1.370218875,-1.494028357,-1.49504358,-2.706210687,3.433781053
1.380197875,-3.416985358,-1.228944397,-2.696746969,4.523111482
1.390207875,-3.26249315,-1.077036658,-1.888702696,3.920595285
1.400217875,-1.342292819,-0.345883856,-1.865391017,2.324020072
1.410196875,0.434977004,-0.47001849,-1.688235,1.80561895
1.420206875,0.868480509,-0.862605227,-1.265716367,1.760790758
1.430215875,0.521575291,-0.942261845,-0.763513048,1.320170574
1.440225875,0.144955107,-0.935569122,-0.187528392,0.965126139
1.450204875,0.401732367,-0.814471532,0.088374817,0.912448837
1.460214875,0.432293716,-0.851537032,0.262741127,0.990467604
1.470224875,0.20689247,-0.628723617,0.264263742,0.712694329
1.480234875,0.055557904,-0.493944127,0.330893934,0.597125009
1.490213875,0.319683944,-0.266852304,0.092516985,0.426576334
1.500223875,0.888646971,0.051199974,0.11824181,0.897939866
1.510233875,0.495718757,0.047108678,0.5714402,0.757957924
1.520212875,0.359625397,-0.034336604,0.128346384,0.383382607
1.530222875,0.097881513,-0.14293928,0.064126414,0.184728518
1.540214875,-0.16925482,-0.156653924,0.164426043,0.283237656
1.550224875,-0.271489146,-0.078717556,0.050269098,0.287105891
1.560203875,-0.296112064,-0.05610228,0.167736737,0.34491366
1.570213875,-0.334625627,-0.064216461,0.143436293,0.36969181
1.580223875,-0.399735689,-0.03170945,-0.073658545,0.407700492
1.590233875,-0.271422196,0.079070728,-0.14582605,0.31809971
1.600212875,-0.225339558,0.201702628,-0.248492632,0.391421071
1.610222875,-0.172498124,0.235518245,-0.348325653,0.454483451
1.620231875,-0.133091253,0.241970063,-0.418908563,0.501744135
1.630211875,-0.102300839,0.220668656,-0.460354797,0.520659828
1.640220875,-0.104234659,0.227775947,-0.525298651,0.581966854
1.650230875,-0.068496038,0.285429493,-0.500021138,0.579812764
1.660240875,0.064005669,0.283950732,-0.48053003,0.561813006
1.670219875,0.080219706,0.278838512,-0.442814319,0.529405929
1.680229875,0.032958123,0.285987902,-0.369082099,0.468077893
1.690239875,0.091403383,0.266772197,-0.207356885,0.350026944
1.700248875,0.100277117,0.245284265,-0.031468545,0.266852281
1.710228875,0.030583423,0.255695232,0.043734834,0.261205155
1.720237875,0.059058194,0.164595612,0.065295857,0.186663159
1.730247875,-0.057823408,0.248480937,0.014262528,0.255518576
1.740226875,0.020575329,0.065233877,0.012884924,0.069604771
1.750236875,0.05751716,-0.001617925,0.009201763,0.058271038
1.760246875,0.051275111,0.046477178,-0.046980039,0.083644421
1.770256875,0.028739357,0.042694615,-0.055345066,0.075576829
1.780235875,0.077630997,0.122466424,-0.15918226,0.215322058
1.790245875,0.086126855,0.231670777,-0.114321252,0.272320644
